"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 27 00:24:00 MSK 2026","Thu Aug 27 00:24:01 MSK 2026","377","","UserLoginTest","","UserLoginTest","shouldNotLoginNonexistentPassword","shouldNotLoginNonexistentPassword",""
"passed","Thu Aug 27 00:24:01 MSK 2026","Thu Aug 27 00:24:02 MSK 2026","1210","","UserLoginTest","","UserLoginTest","shouldLoginExistingUser","shouldLoginExistingUser",""
"passed","Thu Aug 27 00:24:02 MSK 2026","Thu Aug 27 00:24:02 MSK 2026","271","","UserLoginTest","","UserLoginTest","shouldNotLoginNonexistentLogin","shouldNotLoginNonexistentLogin",""
"passed","Thu Aug 27 00:23:52 MSK 2026","Thu Aug 27 00:23:57 MSK 2026","4907","","OrderCreateTest","","OrderCreateTest","shouldCreateOrderWithAuth","shouldCreateOrderWithAuth",""
"passed","Thu Aug 27 00:24:02 MSK 2026","Thu Aug 27 00:24:02 MSK 2026","295","","UserLoginTest","","UserLoginTest","shouldNotLoginNonexistentLoginAndPassword","shouldNotLoginNonexistentLoginAndPassword",""
"failed","Thu Aug 27 00:23:47 MSK 2026","Thu Aug 27 00:23:47 MSK 2026","226","","OrderCreateTest","","OrderCreateTest","shouldNotCreateOrderWithoutAuth","shouldNotCreateOrderWithoutAuth",""
"failed","Thu Aug 27 00:23:42 MSK 2026","Thu Aug 27 00:23:47 MSK 2026","4864","","OrderCreateTest","","OrderCreateTest","shouldNotCreateOrderWithWrongHashIngredients","shouldNotCreateOrderWithWrongHashIngredients",""
"passed","Thu Aug 27 00:23:58 MSK 2026","Thu Aug 27 00:24:00 MSK 2026","1435","","UserCreateTest","","UserCreateTest","shouldCreateUniqueUser","shouldCreateUniqueUser",""
"passed","Thu Aug 27 00:24:00 MSK 2026","Thu Aug 27 00:24:00 MSK 2026","143","","UserCreateTest","","UserCreateTest","shouldNotCreateUserWithoutPassword","shouldNotCreateUserWithoutPassword",""
"passed","Thu Aug 27 00:23:47 MSK 2026","Thu Aug 27 00:23:52 MSK 2026","4912","","OrderCreateTest","","OrderCreateTest","shouldCreateOrderWithIngredients","shouldCreateOrderWithIngredients",""
"passed","Thu Aug 27 00:24:00 MSK 2026","Thu Aug 27 00:24:00 MSK 2026","331","","UserCreateTest","","UserCreateTest","shouldNotCreateDuplicateUser","shouldNotCreateDuplicateUser",""
"passed","Thu Aug 27 00:23:57 MSK 2026","Thu Aug 27 00:23:58 MSK 2026","1051","","OrderCreateTest","","OrderCreateTest","shouldNotCreateOrderWithoutIngredients","shouldNotCreateOrderWithoutIngredients",""
"passed","Thu Aug 27 00:24:00 MSK 2026","Thu Aug 27 00:24:00 MSK 2026","81","","UserCreateTest","","UserCreateTest","shouldNotCreateUserWithoutName","shouldNotCreateUserWithoutName",""
"passed","Thu Aug 27 00:24:00 MSK 2026","Thu Aug 27 00:24:00 MSK 2026","83","","UserCreateTest","","UserCreateTest","shouldNotCreateUserWithoutEmail","shouldNotCreateUserWithoutEmail",""
